a_RLH2_alpha_N,a_RLH2_alpha_P,b_RLH2_mean_tpost,b_RLH2_habit_weight,c_RLH2_alpha_action,d_RLH2_alpha_action
0.919140768274946,0.00973632501351862,3.5776234567901235,0.9998324523527636,0.11062133080619764,-0.9094044432614273
8.587400930368751e-9,0.00194013587907245,1.2566410440613027,0.2752607821546229,0.9999997962174744,0.0019401272916715197
0.2512928642114024,0.9772782512520142,1.905536762600229,0.9999999997248148,1.646836207384882e-8,0.7259853870406118
0.08082183403783472,1.0551870446285464e-6,2.2117374155581637,0.9999828529238364,0.08875665263558555,-0.08082077885079009
0.62211515257089,0.8974752360683136,4.278732026143791,0.9993175813182096,4.604934439931696e-4,0.2753600834974236
0.13985138862628305,0.9998593162839488,0.8834935017849175,0.9999999997420264,0.06141037622072676,0.8600079276576658
0.01710172394299438,0.4078003758436901,0.2068788916826309,0.3354484216823879,0.9999999802783432,0.39069865190069575
0.16601068222188556,8.947239855594075e-5,1.55992690564008,0.9886785507572012,0.11320148213077108,-0.1659212098233296
0.28889692388371047,0.9224423800394368,2.536806891025641,0.9751972024424624,0.2948923929713163,0.6335454561557263
0.1345430407851111,0.3673706184424832,2.5378687516187517,0.999999992918556,3.829376948383567e-7,0.2328275776573721
0.43260544972904946,0.2584445681414739,0.9075657879583564,0.9999056553528376,0.03317712733058343,-0.1741608815875756
0.01255793308662139,3.3441694981207166e-5,0.5240369073275862,0.9548340703202696,0.107554646480327,-0.012524491391640183
0.576207846080719,0.6725236943030676,1.5586775914634146,0.9999836474287566,0.4008602695072722,0.09631584822234862
0.8275652660783483,0.1129831987955688,4.16510771780303,0.999602037987428,0.33008534475222634,-0.7145820672827795
0.06590655938584906,7.55400997733785e-7,2.167843875502008,0.9999976026265264,0.3955116085018232,-0.06590580398485132
0.7437325691093002,6.838232511311695e-6,1.2997085739413248,0.9999945880573092,0.1306720588161582,-0.7437257308767888
0.1403653207170261,0.6346803635036922,4.10581672705314,0.6083564938628233,0.09464271382338388,0.49431504278666605
0.24154443218567803,0.7683332276278302,0.7423202364788414,0.999999997131244,0.02073385038376967,0.5267887954421522
0.05846925057428603,0.999993207223522,1.0789352876106195,0.6400102296605288,0.20419243466027528,0.941523956649236
0.3699571179082907,0.7569785791050341,0.8806766152762795,0.99983277859745,0.04352433440501035,0.38702146119674335
0.7311946278455007,6.545444993173265e-4,2.9129710464432685,0.9999070935898688,0.15771461375529144,-0.7305400833461834
0.9361502607126148,0.5424428833324354,1.634219290123457,0.9999916387920956,0.0442751309937433,-0.39370737738017936
0.4868395410372641,0.804879002294544,2.8148786502849004,0.7908401986768674,1.2405814820440033e-8,0.3180394612572799
0.11853555212161228,0.5871108395719603,3.066917824074074,0.9999999999181548,1.2485935083991336e-8,0.46857528745034804
0.0499556538671139,3.9670072909595155e-5,2.4635201040081176,0.9417978416864712,0.0064121593361625,-0.049915983794204304
0.38441438064295697,0.9973933249117544,1.475997060390036,0.999973935475319,0.0844851870510681,0.6129789442687974
0.10249203122509884,5.172650384293384e-5,0.49367160083248385,0.999760928566372,0.04787024808376645,-0.10244030472125591
2.5815025829213513e-8,0.6705227218557508,1.006341799847793,0.9445385758958846,0.15572788130166568,0.670522696040725
0.428239505886315,0.284789645655726,1.4052466168091169,0.7775330716821517,0.12841483723092187,-0.14344986023058898
0.07613639713564832,9.85059068805778e-8,1.6864193106523955,0.9999513723424376,0.04650374124950364,-0.07613629862974144
0.8404438102980561,0.8025307550090293,2.2572094686246755,0.9999516407544362,0.1463269465750295,-0.03791305528902689
0.0289363879117572,0.7554331565437125,1.0725347222222221,0.9999999943366678,0.1574608109469065,0.7264967686319552
0.07257842832826668,5.215425582207796e-9,2.032846834264432,0.9999604813709404,0.08278185948626948,-0.0725784231128411
0.08660505404665844,1.1010412083709086e-6,2.231649894655134,0.8014666113011383,0.0958826522794915,-0.08660395300545007
9.81059478245788e-8,0.0096218663946749,3.3354308712121212,0.6044880564172372,0.49912566368344746,0.009621768288727076
0.1565967096891159,0.00636438904952377,1.836176856624666,0.5231295614306286,0.34547076758344697,-0.15023232063959213
0.7208388770882993,0.19227976655486825,1.5447978395061728,0.9999999978127008,2.389429366879439e-7,-0.5285591105334311
0.4984282580278539,0.04708856489679809,2.867951303155007,0.9992736448413172,0.02644218264361608,-0.4513396931310558
0.5174787557635696,0.999985943301644,4.65710865162037,0.29302386632686833,0.47931233453503747,0.4825071875380744
4.4969286527043193e-4,1.207414037372929e-4,1.1939509351851851,0.482355214241294,0.15188061698526772,-3.2895146153313903e-4
1.3853969302065e-4,2.635572609198557e-6,2.713535795759528,0.9999006627020096,0.8912313413902293,-1.3590412041145146e-4
0.01431001723085593,1.1977063899639353e-5,3.3486371262317363,0.7443577007171281,0.6465567228497815,-0.01429804016695629
0.982717403350614,0.04382909476467725,1.0549167068079641,0.9999799358027556,0.02060741657769189,-0.9388883085859367
0.00354135375066231,1.1399172963535277e-7,0.6477787663107948,0.7805358958781554,0.06092712371982904,-0.003541239758932675
0.04034529961517102,0.02099191233015733,0.9849237711526182,0.6671896846711485,0.999153596253349,-0.01935338728501369
0.807945216169257,0.529899679347976,1.7028534289452497,0.9999880948635708,7.46417520932938e-6,-0.27804553682128097
0.0833532809743265,3.030392112727143e-6,1.2141677192378328,0.9998618962687404,0.16009862085813184,-0.08335025058221376
0.7482430511606949,0.5770020222681708,1.6783026583139082,0.9999976126510014,0.06724301114496956,-0.17124102889252413
1.0520596759874444e-8,0.0454515548800191,3.0546731053532525,0.6172485849791176,0.330408801359047,0.045451544359422336
0.09620505936792234,0.3866340112609789,1.8434895248784138,0.9999999764246772,0.04769197612019775,0.29042895189305656
0.14972545321006708,0.3810824944165784,0.5447415127995643,0.9826572066138078,0.0373607387110465,0.2313570412065113
2.5012092427059106e-7,0.4965271433626821,2.339775288259958,0.06602389167686595,0.03216607245623784,0.49652689324175786
0.03918453071284795,7.379357309767338e-4,1.2957498932886788,0.9950320908475014,0.184135831324541,-0.03844659498187122
0.00635330139396204,0.08409855151972875,0.45368893076493577,0.1421337089926215,0.4164002174286103,0.07774525012576672
8.647473720499419e-5,0.9997318483658316,2.9454189814814815,0.33237260238578376,0.0668716955521736,0.9996453736286266
0.00155454312276103,1.2354386540903138e-4,3.645068317764667,0.9994765106454616,9.533025224220818e-5,-0.0014309992573519987
0.1629686498409713,3.7867158635384983e-13,1.0904067949346405,0.9999958010925212,0.4319620792758778,-0.16296864984059264
0.999796672967219,0.24588565514535793,3.0576205880025324,0.9998791889807376,0.21631312867999836,-0.7539110178218611
0.0018712991175236,0.5104173647109282,0.16117039692265794,0.9944736331273388,0.11619045530771456,0.5085460655934047
5.553385260475109e-4,0.1108406675917937,2.2493489940557843,0.7777704208800872,0.11724872058674889,0.11028532906574619
0.05452234043815368,1.4519983301960127e-5,1.7421863817319736,0.9998664415302164,0.00107622283870475,-0.054507820454851724
0.00718986891635985,7.60207334526515e-5,3.228441392166503,0.13565490077825015,0.9733888523526107,-0.007113848182907199
0.08921606312370264,0.6539905042084342,0.4580639788767897,0.9999758939699408,2.324520218396003e-6,0.5647744410847315
0.9998697898591744,0.7393086634580072,2.6550607414585126,0.9545190121642484,0.03358742646428353,-0.26056112640116724
0.03265194580122784,0.4896334609526341,1.6806587621607783,0.9337167212639604,0.45943928272725143,0.4569815151514063
0.01262099281730284,0.9998443640742528,2.28425048884288,0.25485976852589587,0.7317645911355166,0.9872233712569499
0.04108566223725316,0.8229298966075338,1.6204917445099967,0.999347484380901,0.01391567561253455,0.7818442343702806
0.02001832906809535,0.13318410898752675,1.8530639079801452,3.7294099963886573e-8,0.8044987526220677,0.1131657799194314
0.38288053094346447,1.6289582470678475e-4,1.7309537812333864,0.999716999063478,0.01477027284408485,-0.38271763511875767
0.06108889495559115,2.0634686678419457e-7,1.4363487227345924,0.9986239791386968,0.06836657015293274,-0.06108868860872437
0.02577636374478288,1.0903806673399449e-5,0.5789082493686869,0.5863177067985084,0.02548285449098637,-0.025765459938109483
0.02962672561761168,5.19383544048493e-5,4.231405855429293,0.29990514786190947,0.4481173411121825,-0.02957478726320683
