a_emp_BetaRPE_ranef,a_emp_mean_tpost,b_emp_BetaRPE_ranef_AgeOutliersExcluded,b_emp_age
-0.018861067954249626,3.5776234567901235,-0.018861067954249626,18.726747946611912
-0.002082946984613715,1.2566410440613027,-0.002082946984613715,15.928833751616091
-0.0040766644717727275,1.905536762600229,-0.0040766644717727275,21.672473128501533
-0.01609776719495202,2.2117374155581637,-0.01609776719495202,15.390656640555683
0.02354685977152725,4.278732026143791,0.02354685977152725,50.34144957157705
-0.01629451074515031,0.8834935017849175,-0.01629451074515031,54.676151735239685
-0.08165263785718599,0.2068788916826309,-0.08165263785718599,26.493054890105714
0.020564554929068512,1.55992690564008,0.020564554929068512,47.002856110730846
0.004657212513272883,2.536806891025641,0.004657212513272883,43.14113852130707
-0.005825233725053978,2.5378687516187517,-0.005825233725053978,20.117316494283468
0.01379345372233525,0.9075657879583564,0.01379345372233525,50.638476721930694
0.0020259476102240264,0.5240369073275862,0.0020259476102240264,66.40433499378913
6.594192464657337e-4,1.5586775914634146,6.594192464657337e-4,49.91769465992345
0.01617973517258119,4.16510771780303,0.01617973517258119,46.58858275027252
-0.020256506080421885,2.167843875502008,-0.020256506080421885,30.892859406291986
-0.0051922492235719556,1.2997085739413248,-0.0051922492235719556,31.495418441199586
4.5920521038861903e-4,4.10581672705314,4.5920521038861903e-4,60.35843169315791
0.031641728273514316,0.7423202364788414,0.031641728273514316,62.738902958399876
-0.019613256170967784,1.0789352876106195,-0.019613256170967784,32.00832065809821
-0.02942337072952134,0.8806766152762795,-0.02942337072952134,18.15688290617791
-0.005935733303248837,2.9129710464432685,-0.005935733303248837,47.934185521078916
-0.021864707793065114,1.634219290123457,-0.021864707793065114,52.404911875427786
-0.0039149195074512175,2.8148786502849004,-0.0039149195074512175,24.310965377595256
0.014401325857968285,3.066917824074074,0.014401325857968285,67.30404571323548
-0.013093909108061824,2.4635201040081176,-0.013093909108061824,50.60879122620225
0.019696500424823116,1.475997060390036,0.019696500424823116,18.61207471417345
0.023739505273125187,0.49367160083248385,0.023739505273125187,42.01979440768626
0.012391115223946628,1.006341799847793,0.012391115223946628,33.78583466423302
-0.0662665206881644,1.4052466168091169,-0.0662665206881644,50.25502148452354
-0.033181341454324845,1.6864193106523955,-0.033181341454324845,39.910729523157656
-0.0057544025767221705,2.2572094686246755,-0.0057544025767221705,36.77170890688772
0.03732078254562511,1.0725347222222221,0.03732078254562511,18.83232093061576
0.020617543848412113,2.032846834264432,0.005495661808025334,41.49618275787766
0.005495661808025334,2.231649894655134,0.003399722233488885,60.297960839861084
0.015062329231972156,3.3354308712121212,-0.030209079372800596,27.36663006692524
0.003399722233488885,1.836176856624666,-0.01961543612626617,35.974769405784976
-0.030209079372800596,1.5447978395061728,-0.012731229512718626,46.078813597992244
-0.01961543612626617,2.867951303155007,-7.800578261764862e-4,31.64867401196542
-0.012731229512718626,4.65710865162037,-0.010702087140345406,41.99537163789388
-7.800578261764862e-4,1.1939509351851851,0.0155962591416593,55.81760837326032
-0.010702087140345406,2.713535795759528,-0.03470620177716713,35.09039461175755
0.0155962591416593,3.3486371262317363,0.02068966115715205,32.099595406494785
-0.03470620177716713,1.0549167068079641,0.03967473641434063,34.448802887418566
0.02068966115715205,0.6477787663107948,-0.03379112305077789,17.994426762491443
0.03967473641434063,0.9849237711526182,-0.02663344869373657,20.533497952949528
-0.03379112305077789,1.7028534289452497,-0.03805795019262519,40.81381432681826
-0.02663344869373657,1.2141677192378328,0.025061547544543063,46.83510292290922
-0.03805795019262519,1.6783026583139082,0.021040438396254094,67.50614352802494
0.025061547544543063,3.0546731053532525,-0.004649831721402947,23.535774425178086
0.021040438396254094,1.8434895248784138,-0.008823746950535392,21.957135048292646
-0.004649831721402947,0.5447415127995643,-0.003012722774944912,44.61176676933607
-0.008823746950535392,2.339775288259958,-0.017865691635038296,21.10193918422187
-0.003012722774944912,1.2957498932886788,-0.017419950077199202,43.308950110274544
-0.017865691635038296,0.45368893076493577,0.01807253176656052,50.315468635130685
-0.017419950077199202,2.9454189814814815,0.02372015864316709,23.995747965624762
0.01807253176656052,3.645068317764667,6.472964940691475e-4,39.053445952797425
0.02372015864316709,1.0904067949346405,0.010125025697007958,61.416415253377956
6.472964940691475e-4,3.0576205880025324,0.005881845623259404,21.738122829365985
0.010125025697007958,0.16117039692265794,0.006106861700998301,43.26913599259766
0.005881845623259404,2.2493489940557843,0.02701546400255181,40.67835275813116
0.006106861700998301,1.7421863817319736,-0.07465374132580208,63.78925013308997
0.02701546400255181,3.228441392166503,-0.0025094822240335573,40.33928609906964
-0.07465374132580208,0.4580639788767897,-0.028940519512771913,16.819877874109565
-0.0025094822240335573,2.6550607414585126,-0.013149643311178003,22.5255034286511
