x_axis_mean_tpost,a_habit_weight,b_alpha_action,c_alpha_R,x_axis_mean_tpost_TpostOutLiersRemoved,d_habit_weight_mean_tpost_TpostOutLiersRemoved,e_alpha_action_mean_tpost_TpostOutLiersRemoved,f_alpha_R_mean_tpost_TpostOutLiersRemoved
3.5776234567901235,0.9991533347685492,0.02613768569719584,0.9998679234836588,3.5776234567901235,0.9991533347685492,0.02613768569719584,0.9998679234836588
1.2566410440613027,0.22785989790784997,0.9999999564463316,9.338851874489968e-11,1.2566410440613027,0.22785989790784997,0.9999999564463316,9.338851874489968e-11
1.905536762600229,0.9999991619163378,1.9199651813262865e-4,0.3315621863546118,1.905536762600229,0.9999991619163378,1.9199651813262865e-4,0.3315621863546118
2.2117374155581637,0.9999053966229392,0.15316753197138305,4.994217993487406e-12,2.2117374155581637,0.9999053966229392,0.15316753197138305,4.994217993487406e-12
4.278732026143791,0.9994411781008812,2.3350532357845131e-4,0.4851736864769789,4.278732026143791,0.9994411781008812,2.3350532357845131e-4,0.4851736864769789
0.8834935017849175,0.9999999999280422,0.06235041643014367,0.00745304919211627,0.8834935017849175,0.9999999999280422,0.06235041643014367,0.00745304919211627
0.2068788916826309,0.29464802664776857,0.999999163828278,0.00670048798905258,0.2068788916826309,0.29464802664776857,0.999999163828278,0.00670048798905258
1.55992690564008,0.9998246564265918,0.09348127534810552,0.8847994220129434,1.55992690564008,0.9998246564265918,0.09348127534810552,0.8847994220129434
2.536806891025641,0.9678968368989936,0.3952796707561216,0.2704050113031278,2.536806891025641,0.9678968368989936,0.3952796707561216,0.2704050113031278
2.5378687516187517,0.999999981925568,2.2447693057889926e-10,0.5228491158797747,2.5378687516187517,0.999999981925568,2.2447693057889926e-10,0.5228491158797747
0.9075657879583564,0.999999598395894,0.03093422076406389,0.09811534778899596,0.9075657879583564,0.999999598395894,0.03093422076406389,0.09811534778899596
0.5240369073275862,0.9934143179397028,0.15893247297491248,1.5670270197461283e-6,0.5240369073275862,0.9934143179397028,0.15893247297491248,1.5670270197461283e-6
1.5586775914634146,0.999873427288821,0.4029845457547031,0.5680279996412998,1.5586775914634146,0.999873427288821,0.4029845457547031,0.5680279996412998
4.16510771780303,0.9997971066766718,0.33331706826772733,0.8972528287017683,4.16510771780303,0.9997971066766718,0.33331706826772733,0.8972528287017683
2.167843875502008,0.9999863072693044,0.3089735375051879,2.6398912145868446e-10,2.167843875502008,0.9999863072693044,0.3089735375051879,2.6398912145868446e-10
1.2997085739413248,0.7621439977101877,0.24701423341141088,1.2516635039137348e-8,1.2997085739413248,0.7621439977101877,0.24701423341141088,1.2516635039137348e-8
4.10581672705314,0.6272002980634369,0.11594904852655484,0.16836743818129007,4.10581672705314,0.6272002980634369,0.11594904852655484,0.16836743818129007
0.7423202364788414,0.9999665226227852,0.01803875603987153,0.9455300312431798,0.7423202364788414,0.9999665226227852,0.01803875603987153,0.9455300312431798
1.0789352876106195,0.9766190899890902,0.01737019475903436,3.4976252247191185e-6,1.0789352876106195,0.9766190899890902,0.01737019475903436,3.4976252247191185e-6
0.8806766152762795,0.6604400049669263,0.05133989673869701,8.690307575374576e-7,0.8806766152762795,0.6604400049669263,0.05133989673869701,8.690307575374576e-7
2.9129710464432685,0.9999674371482484,0.12618830279833806,2.2533747331390276e-8,2.9129710464432685,0.9999674371482484,0.12618830279833806,2.2533747331390276e-8
1.634219290123457,0.9999485160648612,0.0558371519856749,0.9525485406310734,1.634219290123457,0.9999485160648612,0.0558371519856749,0.9525485406310734
2.8148786502849004,0.8330771498341598,6.862501470865052e-8,0.5465446547015251,2.8148786502849004,0.8330771498341598,6.862501470865052e-8,0.5465446547015251
3.066917824074074,0.9999293286571762,0.0812860674976428,2.8747616895487035e-10,3.066917824074074,0.9999293286571762,0.0812860674976428,2.8747616895487035e-10
2.4635201040081176,0.9617011698851662,0.01786339876255905,3.534979950185205e-7,2.4635201040081176,0.9617011698851662,0.01786339876255905,3.534979950185205e-7
1.475997060390036,0.9655941909863642,0.11496367497258202,1.095512172030345e-9,1.475997060390036,0.9655941909863642,0.11496367497258202,1.095512172030345e-9
0.49367160083248385,0.999991022034216,0.04013920821875171,4.7339363889842124e-9,0.49367160083248385,0.999991022034216,0.04013920821875171,4.7339363889842124e-9
1.006341799847793,0.9540301996734868,0.15393431578287017,5.128319288915796e-5,1.006341799847793,0.9540301996734868,0.15393431578287017,5.128319288915796e-5
1.4052466168091169,0.7415731360127447,0.0802218561535937,0.406623105054606,1.4052466168091169,0.7415731360127447,0.0802218561535937,0.406623105054606
1.6864193106523955,0.999999999977824,0.03206279083576816,0.13735833534295333,1.6864193106523955,0.999999999977824,0.03206279083576816,0.13735833534295333
2.2572094686246755,0.9999636934257086,0.18775518097194072,0.9999793114983372,2.2572094686246755,0.9999636934257086,0.18775518097194072,0.9999793114983372
1.0725347222222221,0.9999972800747816,0.1670515637043587,1.3285142083174256e-8,1.0725347222222221,0.9999972800747816,0.1670515637043587,1.3285142083174256e-8
2.032846834264432,0.8524639222684274,0.1476977054735163,1.8639287007858417e-7,2.032846834264432,0.8524639222684274,0.1476977054735163,1.8639287007858417e-7
2.231649894655134,0.9999833537006472,0.06644693681588743,6.784834402089681e-11,2.231649894655134,0.9999833537006472,0.06644693681588743,6.784834402089681e-11
3.3354308712121212,0.5822664056063013,0.49278663665713746,0.01060160918929856,3.3354308712121212,0.5822664056063013,0.49278663665713746,0.01060160918929856
1.836176856624666,0.5524954164211766,0.4174628938056416,1.3121994138780085e-8,1.836176856624666,0.5524954164211766,0.4174628938056416,1.3121994138780085e-8
1.5447978395061728,0.9999988791653356,5.44342347110746e-9,0.7474570759415485,1.5447978395061728,0.9999988791653356,5.44342347110746e-9,0.7474570759415485
2.867951303155007,0.9998206916875124,8.845417148609131e-8,0.5679821489332292,2.867951303155007,0.9998206916875124,8.845417148609131e-8,0.5679821489332292
4.65710865162037,0.29170135424320365,0.4931073117246195,0.5557605311401395,4.65710865162037,0.29170135424320365,0.4931073117246195,0.5557605311401395
1.1939509351851851,0.3741324589907141,0.2158548353624726,1.1921174729677086e-4,1.1939509351851851,0.3741324589907141,0.2158548353624726,1.1921174729677086e-4
2.713535795759528,0.9997074384300094,0.940540899484364,2.6506784503596996e-6,2.713535795759528,0.9997074384300094,0.940540899484364,2.6506784503596996e-6
3.3486371262317363,0.9997714687949744,0.11703103553720554,1.067355816175014e-5,3.3486371262317363,0.9997714687949744,0.11703103553720554,1.067355816175014e-5
1.0549167068079641,0.9983519879221204,5.4729561162645485e-9,0.900519929125381,1.0549167068079641,0.9983519879221204,5.4729561162645485e-9,0.900519929125381
0.6477787663107948,0.6965168898259002,0.08567736838935303,0.0019391297147272,0.6477787663107948,0.6965168898259002,0.08567736838935303,0.0019391297147272
0.9849237711526182,0.6909291155580211,0.9998045334926052,0.02684066055098492,0.9849237711526182,0.6909291155580211,0.9998045334926052,0.02684066055098492
1.7028534289452497,0.999997967091538,3.596508080660407e-4,0.4972644582051398,1.7028534289452497,0.999997967091538,3.596508080660407e-4,0.4972644582051398
1.2141677192378328,0.9999835496661416,0.14091217445279555,0.6367926591962386,1.2141677192378328,0.9999835496661416,0.14091217445279555,0.6367926591962386
1.6783026583139082,0.9999556667133632,0.06763899375967826,0.7422609378903295,1.6783026583139082,0.9999556667133632,0.06763899375967826,0.7422609378903295
3.0546731053532525,0.7114687043730009,0.30810457857719764,0.00950461124249955,3.0546731053532525,0.7114687043730009,0.30810457857719764,0.00950461124249955
1.8434895248784138,0.9999654673701216,0.06227796132454319,8.130014806990939e-6,1.8434895248784138,0.9999654673701216,0.06227796132454319,8.130014806990939e-6
0.5447415127995643,0.9992081992455982,0.02069698887437229,0.2548259746745436,0.5447415127995643,0.9992081992455982,0.02069698887437229,0.2548259746745436
2.339775288259958,0.06658763126633227,0.03146015222393873,2.469506481764265e-6,2.339775288259958,0.06658763126633227,0.03146015222393873,2.469506481764265e-6
1.2957498932886788,0.9689126495374198,0.17420293956528168,1.0165086182238536e-8,1.2957498932886788,0.9689126495374198,0.17420293956528168,1.0165086182238536e-8
0.45368893076493577,0.1708739543760217,0.20741813279028487,2.3275182473271003e-4,0.45368893076493577,0.1708739543760217,0.20741813279028487,2.3275182473271003e-4
2.9454189814814815,0.3900026741856609,0.07464410786567052,1.0638885525120206e-8,2.9454189814814815,0.3900026741856609,0.07464410786567052,1.0638885525120206e-8
3.645068317764667,0.9994348193459826,1.00338675448166e-5,8.002573120906536e-5,3.645068317764667,0.9994348193459826,1.00338675448166e-5,8.002573120906536e-5
1.0904067949346405,0.9999999228151772,0.11468213806661398,0.3960128931493071,1.0904067949346405,0.9999999228151772,0.11468213806661398,0.3960128931493071
3.0576205880025324,0.9999931015491113,0.1950674462675521,0.9998516929689,3.0576205880025324,0.9999931015491113,0.1950674462675521,0.9998516929689
0.16117039692265794,0.999998873746171,0.08215443956254369,0.10256051857779123,0.16117039692265794,0.999998873746171,0.08215443956254369,0.10256051857779123
2.2493489940557843,0.6418457564192561,0.14732235512793537,0.02394920292985825,2.2493489940557843,0.6418457564192561,0.14732235512793537,0.02394920292985825
1.7421863817319736,0.9999999978895376,4.5123795709219646e-8,0.15802713295039497,1.7421863817319736,0.9999999978895376,4.5123795709219646e-8,0.15802713295039497
3.228441392166503,0.1290876375513862,0.9999706850944664,0.00594793254925171,3.228441392166503,0.1290876375513862,0.9999706850944664,0.00594793254925171
0.4580639788767897,0.999978914819564,2.645411124941029e-9,0.9131438857893736,0.4580639788767897,0.999978914819564,2.645411124941029e-9,0.9131438857893736
2.6550607414585126,0.999958911482297,0.05477363563158021,0.6746046355309188,2.6550607414585126,0.999958911482297,0.05477363563158021,0.6746046355309188
1.6806587621607783,0.9783009320381426,0.4495937223066147,0.03693753471402325,1.6806587621607783,0.9783009320381426,0.4495937223066147,0.03693753471402325
2.28425048884288,0.4420120674249414,0.307651073691458,0.00407312369523205,2.28425048884288,0.4420120674249414,0.307651073691458,0.00407312369523205
1.6204917445099967,0.9996139312434438,6.432911762812232e-6,0.04836671242974065,1.6204917445099967,0.9996139312434438,6.432911762812232e-6,0.04836671242974065
1.8530639079801452,0.576523267265709,1.5513747297255676e-8,0.08369472536054037,1.8530639079801452,0.576523267265709,1.5513747297255676e-8,0.08369472536054037
1.7309537812333864,0.9999366835458696,0.00256270966955302,6.922102897573109e-10,1.7309537812333864,0.9999366835458696,0.00256270966955302,6.922102897573109e-10
1.4363487227345924,0.9610897947534852,0.09025968887778062,0.4208688791368496,1.4363487227345924,0.9610897947534852,0.09025968887778062,0.4208688791368496
0.5789082493686869,0.9926775365085556,0.00864312212995624,1.933179148631957e-6,0.5789082493686869,0.9926775365085556,0.00864312212995624,1.933179148631957e-6
4.231405855429293,0.06977933030960522,0.26053863777418984,2.886490332720707e-5,4.231405855429293,0.06977933030960522,0.26053863777418984,2.886490332720707e-5
3.6781067794279427,0.999961028220342,9.128286092013194e-5,0.9631524655963276,3.6781067794279427,0.999961028220342,9.128286092013194e-5,0.9631524655963276
1.3653405330235178,0.7664166289361596,0.3105573817383722,0.08332889062576863,1.3653405330235178,0.7664166289361596,0.3105573817383722,0.08332889062576863
2.2227913943355118,0.9996782611939424,0.01944783862897698,1.4165835593429396e-5,2.2227913943355118,0.9996782611939424,0.01944783862897698,1.4165835593429396e-5
0.6187653442628267,0.9366593011754272,0.2406262073156321,0.02714133988425048,0.6187653442628267,0.9366593011754272,0.2406262073156321,0.02714133988425048
3.550641855447681,0.5279526321362231,0.5793296218771943,1.0358046335833318e-10,3.550641855447681,0.5279526321362231,0.5793296218771943,1.0358046335833318e-10
