a_user1_Tpost,a_user1_likes,a_user2_Tpost,a_user2_likes,a_user3_Tpost,a_user3_likes,c_AHdisc_age,d_AHdisc_meantpost,e_AHdisc_AHIscore,f_AHdisc_followers_ageOutliersexcluded,f_AHdisc_meantpost_ageOutliersexcluded,f_AHdisc_AHI_ageOutliersexcluded,g_AHconf_age,h_AHconf_meantpost,i_AHconf_AHIscore,j_AHconf_followers_ageOutliersexcluded,j_AHconf_meantpost_ageOutliersexcluded,j_AHconf_AHI_ageOutliersexcluded
4.6296296296296295e-8,2,31.923842592592592,0,3.654097222222222,0,48.56391750323218,1.1166618737218814,3.83,780380,1.1166618737218814,3.83,18.726747946611912,3.5776234567901235,2.75,100,3.5776234567901235,2.75
0.9615046296296296,3,1.7886921296296296,0,0.7891666666666667,0,50.947334809998225,3.8835348217841497,2.71,40,3.8835348217841497,2.71,15.928833751616091,1.2566410440613027,2.75,60,1.2566410440613027,2.75
1.3480439814814815,1,3.95431712962963,0,0.9268055555555555,0,20.226194545846326,0.3878006719631154,2.88,640,0.3878006719631154,2.88,21.672473128501533,1.905536762600229,2.96,120,1.905536762600229,2.96
1.0860069444444445,1,14.452847222222225,0,4.339722222222222,0,20.908430964331888,1.4665519059886498,2.33,920,1.4665519059886498,2.33,15.390656640555683,2.2117374155581637,2.08,80,2.2117374155581637,2.08
0.11578703703703704,2,8.048946759259259,0,1.2181712962962965,1,44.187784210459604,2.874800679265331,2.71,140,2.874800679265331,2.71,50.34144957157705,4.278732026143791,2.5,130,4.278732026143791,2.5
0.04497685185185185,4,0.4324421296296296,1,3.0219328703703705,0,31.65115778766446,2.89982083709726,3.83,340,2.89982083709726,3.83,54.676151735239685,0.8834935017849175,3.13,280,0.8834935017849175,3.13
0.00540509259259259,1,0.03295138888888889,0,1.4986805555555556,0,29.20192343524222,2.01436585584203,2.58,30,2.01436585584203,2.58,26.493054890105714,0.2068788916826309,3,340,0.2068788916826309,3
0.00359953703703703,0,0.0074537037037037,0,4.981921296296297,0,20.97000564047963,4.212549356108982,3.5,210,4.212549356108982,3.5,47.002856110730846,1.55992690564008,3.88,1080,1.55992690564008,3.88
0.3614699074074074,2,0.21450231481481483,1,0.5466898148148148,0,56.842434057089264,0.88771439449317735,1.63,1060,0.88771439449317735,1.63,43.14113852130707,2.536806891025641,1.83,1360,2.536806891025641,1.83
0.09140046296296296,0,0.6170138888888889,0,3.512511574074074,0,47.6709655043476,1.016445115031466,2.71,260,1.016445115031466,2.71,20.117316494283468,2.5378687516187517,2.79,400,2.5378687516187517,2.79
0.27037037037037037,3,0.44471064814814815,0,0.42813657407407407,1,32.50712642913276,1.7481991763863312,2.67,5070,1.7481991763863312,2.67,50.638476721930694,0.9075657879583564,3.88,4590,0.9075657879583564,3.88
0.0471412037037037,3,0.795,0,0.7405439814814815,0,41.87950962684108,3.098683498116761,3.79,40,3.098683498116761,3.79,66.40433499378913,0.5240369073275862,3,1230,0.5240369073275862,3
0.06069444444444445,2,0.07680555555555556,0,1.8164120370370371,0,54.04422342003194,3.0949557811016146,3.13,1180,3.0949557811016146,3.13,49.91769465992345,1.5586775914634146,3.79,40,1.5586775914634146,3.79
0.02126157407407407,2,0.05494212962962963,0,0.12193287037037036,4,30.6293785015337,0.9419192976804124,1.88,80,0.9419192976804124,1.88,46.58858275027252,4.16510771780303,3.96,230,4.16510771780303,3.96
0.00359953703703703,2,0.07445601851851852,0,2.20005787037037,1,36.05045117499429,2.8035259225217866,3.25,420,2.8035259225217866,3.25,30.892859406291986,2.167843875502008,3.63,690,2.167843875502008,3.63
0.01666666666666666,1,0.11070601851851852,0,10.635555555555555,0,44.498448361092095,1.563585669482847,3.71,160,1.563585669482847,3.71,31.495418441199586,1.2997085739413248,3.46,720,1.2997085739413248,3.46
0.08861111111111111,0,0.03827546296296296,1,1.1608449074074074,0,32.31951552082541,2.3695880097268986,2,310,2.3695880097268986,2,60.35843169315791,4.10581672705314,3.58,90,4.10581672705314,3.58
0.35616898148148146,0,0.4728819444444444,1,2.791099537037037,1,55.592940179227824,3.930505525686977,2.46,80,3.930505525686977,2.46,62.738902958399876,0.7423202364788414,3.54,700,0.7423202364788414,3.54
0.02111111111111111,0,0.06592592592592593,1,0.5789236111111111,0,26.325533849215404,2.5337629217402333,3.25,20,1.5541265525063215,3.88,32.00832065809821,1.0789352876106195,2.83,950,1.0789352876106195,2.83
0.08685185185185185,1,0.07689814814814815,0,0.7449652777777778,23,43.64603265140568,1.5541265525063215,3.88,580,4.478893351182508,3.13,18.15688290617791,0.8806766152762795,3.13,400,0.8806766152762795,3.13
0.2249884259259259,0,0.11010416666666668,0,0.5647569444444445,0,17.24484748523335,4.478893351182508,3.13,1040,3.2606953347578345,2.58,47.934185521078916,2.9129710464432685,2.92,330,2.9129710464432685,2.92
0.09048611111111111,1,0.12799768518518517,0,0.04347222222222222,2,51.1410723882678,3.2606953347578345,2.58,360,3.3313234096364885,4.46,52.404911875427786,1.634219290123457,2.88,810,1.634219290123457,2.88
0.01703703703703703,0,0.14686342592592594,1,0.2868287037037037,0,31.038348828808275,3.3313234096364885,4.46,140,3.80220189701897,3.79,24.310965377595256,2.8148786502849004,4.25,510,2.8148786502849004,4.25
0.2730902777777778,2,0.6021875,2,0.6906944444444445,0,63.817365389002966,3.80220189701897,3.79,180,1.7936674420726144,4,67.30404571323548,3.066917824074074,4.29,1290,3.066917824074074,4.29
0.2815972222222222,0,0.2503587962962963,1,0.0292824074074074,0,22.00123355388242,1.7936674420726144,4,170,1.0163267425411522,3.33,50.60879122620225,2.4635201040081176,2.63,130,2.4635201040081176,2.63
0.0315162037037037,0,0.9180671296296296,6,2.029074074074074,0,39.330237945851394,1.0163267425411522,3.33,530,3.7565959616795013,3.17,18.61207471417345,1.475997060390036,2.96,190,1.475997060390036,2.96
0.6105439814814815,3,0.04165509259259259,0,1.3368287037037037,0,44.46117163535884,3.7565959616795013,3.17,260,2.0377319340989035,2.75,42.01979440768626,0.49367160083248385,4.17,1620,0.49367160083248385,4.17
0.03428240740740741,1,0.03950231481481481,0,0.9094791666666666,1,46.36246501635105,2.0377319340989035,2.75,220,1.3567525114400114,3.5,33.78583466423302,1.006341799847793,3.71,2030,1.006341799847793,3.71
0.2541203703703704,0,0.9612152777777778,0,0.8521064814814815,0,18.796365756584784,1.3567525114400114,3.5,550,1.764444670280036,3.33,50.25502148452354,1.4052466168091169,4.13,9490,1.4052466168091169,4.13
0.04842592592592593,1,1.0152662037037037,1,0.44376157407407407,0,53.39432906811671,1.3031555020724697,2.83,210,4.35254098583878,3,39.910729523157656,1.6864193106523955,1.63,350,1.6864193106523955,1.63
0.04390046296296296,3,1.0000694444444445,0,0.41483796296296294,0,52.48687454052273,1.764444670280036,3.33,640,1.3525246059513711,3.92,36.77170890688772,2.2572094686246755,3.04,380,2.2572094686246755,3.04
0.00587962962962963,1,0.1551736111111111,0,0.00576388888888888,0,32.03258099475245,4.35254098583878,3,800,0.6846047065631808,3.88,18.83232093061576,1.0725347222222221,3.04,660,1.0725347222222221,3.04
0.00436342592592592,0,0.8586342592592593,1,0.15189814814814814,0,17.224987863462367,1.3525246059513711,3.92,500,3.151143937579821,3.42,41.49618275787766,2.032846834264432,3.71,990,2.231649894655134,2.29
0.03885416666666667,1,0.9965393518518518,1,0.465625,0,48.75666308591275,0.6846047065631808,3.88,760,2.446859375,4.25,60.297960839861084,2.231649894655134,2.29,3730,1.836176856624666,3.92
0.3049189814814815,1,2.838599537037037,1,0.4460763888888889,0,39.307053609906966,3.151143937579821,3.42,280,2.4308286577140055,3.13,27.36663006692524,3.3354308712121212,3.58,140,1.5447978395061728,2.83
0.12707175925925926,0,0.8980787037037037,0,0.3026273148148148,0,34.51339211473623,2.446859375,4.25,26670,2.2453587248513944,3.75,35.974769405784976,1.836176856624666,3.92,200,2.867951303155007,3
0.11344907407407408,1,1.1097569444444444,1,0.6655671296296296,0,39.854551011483764,2.4308286577140055,3.13,290,1.310676463569224,3.17,46.078813597992244,1.5447978395061728,2.83,1850,4.65710865162037,3.75
0.02181712962962963,9,0.04439814814814814,0,0.6254398148148148,0,41.39508229396405,2.2453587248513944,3.75,70,2.5498997734436566,2.42,31.64867401196542,2.867951303155007,3,660,1.1939509351851851,3.96
0.2903587962962963,1,0.7542476851851851,0,3.5624884259259257,1,55.36289042892996,1.310676463569224,3.17,250,2.599370403204623,3.71,41.99537163789388,4.65710865162037,3.75,340,2.713535795759528,3.83
