x_axis_emp_AHI,a_RLH2_habit_weight,b_RLH2_alpha_action,c_RLH2_alpha_P,d_RLH2_alpha_N,e_RLH2_posbias
2.75,0.9998324523527636,0.11062133080619764,0.00973632501351862,0.919140768274946,-0.9094044432614273
2.75,0.2752607821546229,0.9999997962174744,0.00194013587907245,8.587400930368751e-9,0.0019401272916715197
2.96,0.9999999997248148,1.646836207384882e-8,0.9772782512520142,0.2512928642114024,0.7259853870406118
2.08,0.9999828529238364,0.08875665263558555,1.0551870446285464e-6,0.08082183403783472,-0.08082077885079009
2.5,0.9993175813182096,4.604934439931696e-4,0.8974752360683136,0.62211515257089,0.2753600834974236
3.13,0.9999999997420264,0.06141037622072676,0.9998593162839488,0.13985138862628305,0.8600079276576658
3,0.3354484216823879,0.9999999802783432,0.4078003758436901,0.01710172394299438,0.39069865190069575
3.88,0.9886785507572012,0.11320148213077108,8.947239855594075e-5,0.16601068222188556,-0.1659212098233296
1.83,0.9751972024424624,0.2948923929713163,0.9224423800394368,0.28889692388371047,0.6335454561557263
2.79,0.999999992918556,3.829376948383567e-7,0.3673706184424832,0.1345430407851111,0.2328275776573721
3.88,0.9999056553528376,0.03317712733058343,0.2584445681414739,0.43260544972904946,-0.1741608815875756
3,0.9548340703202696,0.107554646480327,3.3441694981207166e-5,0.01255793308662139,-0.012524491391640183
3.79,0.9999836474287566,0.4008602695072722,0.6725236943030676,0.576207846080719,0.09631584822234862
3.96,0.999602037987428,0.33008534475222634,0.1129831987955688,0.8275652660783483,-0.7145820672827795
3.63,0.9999976026265264,0.3955116085018232,7.55400997733785e-7,0.06590655938584906,-0.06590580398485132
3.46,0.9999945880573092,0.1306720588161582,6.838232511311695e-6,0.7437325691093002,-0.7437257308767888
3.58,0.6083564938628233,0.09464271382338388,0.6346803635036922,0.1403653207170261,0.49431504278666605
3.54,0.999999997131244,0.02073385038376967,0.7683332276278302,0.24154443218567803,0.5267887954421522
2.83,0.6400102296605288,0.20419243466027528,0.999993207223522,0.05846925057428603,0.941523956649236
3.13,0.99983277859745,0.04352433440501035,0.7569785791050341,0.3699571179082907,0.38702146119674335
2.92,0.9999070935898688,0.15771461375529144,6.545444993173265e-4,0.7311946278455007,-0.7305400833461834
