a_simFP_BetaAuto_fixef_est,a_simFP_BetaAuto_fixef_stdErr,a_simCP_BetaAuto_fixef_est,a_simCP_BetaAuto_fixef_stdErr,a_simHP_BetaAuto_fixef_est,a_simHP_BetaAuto_fixef_stdErr,a_simRL1_BetaAuto_fixef_est,a_simRL1_BetaAuto_fixef_stdErr,a_simRL2_BetaAuto_fixef_est,a_simRL2_BetaAuto_fixef_stdErr,a_simRLH1_BetaAuto_fixef_est,a_simRLH1_BetaAuto_fixef_stdErr,a_simRLH2_BetaAuto_fixef_est,a_simRLH2_BetaAuto_fixef_stdErr,a_emp_BetaAuto_fixef_est,a_emp_BetaAuto_fixef_stdErr,b_sim_BetaAuto_ranef,b_sim_BetaAuto_habit_weight,c_emp_BetaAuto_ranef,c_emp_BetaAuto_habit_weight
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020555471477484762,0.9540301996734868,0.026607478749102114,0.9540301996734868
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17977239758649907,0.7415731360127447,-0.007202289838726447,0.7415731360127447
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17905239358499758,0.999999999977824,0.037714982414754246,0.999999999977824
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04747768591972515,0.9999636934257086,0.029532928881319837,0.9999636934257086
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024123532409921683,0.9999972800747816,0.01684870802155755,0.9999972800747816
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09033070721706433,0.8524639222684274,0.08416037250307093,0.8524639222684274
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05455105998417058,0.9999833537006472,0.035199392214627104,0.9999833537006472
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06708450959286227,0.5822664056063013,-0.05497242044193941,0.5822664056063013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01673849920450224,0.5524954164211766,0.01554732880378484,0.5524954164211766
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14887655875662578,0.9999988791653356,-0.11673669196664055,0.9999988791653356
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18342400414428658,0.9998206916875124,-0.07247942932112793,0.9998206916875124
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018402316528772903,0.29170135424320365,-0.04430980777396095,0.29170135424320365
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08230568762232142,0.3741324589907141,0.09766574780417472,0.3741324589907141
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4420654261709408,0.9997074384300094,0.19678194017732295,0.9997074384300094
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.039523253485146986,0.9997714687949744,-0.08343536049303858,0.9997714687949744
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10668729948833833,0.9983519879221204,-0.10095151680612643,0.9983519879221204
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11966306079710026,0.6965168898259002,2.659888106562151e-4,0.6965168898259002
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14980962736115688,0.6909291155580211,0.0582738739779568,0.6909291155580211
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21303823518272869,0.999997967091538,-0.01805136357472564,0.999997967091538
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12214083910594002,0.9999835496661416,-0.08854711643011037,0.9999835496661416
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13062905831657232,0.9999556667133632,-0.20379670820689613,0.9999556667133632
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014254370376883038,0.7114687043730009,0.018702187832078145,0.7114687043730009
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11907170280857822,0.9999654673701216,-0.042501108366219904,0.9999654673701216
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17669475939314327,0.9992081992455982,0.043391607533530246,0.9992081992455982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14656958082461358,0.06658763126633227,-0.012688117295920016,0.06658763126633227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10844594630258803,0.9689126495374198,-0.002139826059828923,0.9689126495374198
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14955051171310593,0.1708739543760217,0.01417684734719686,0.1708739543760217
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11772353345844756,0.3900026741856609,-0.0896441580202111,0.3900026741856609
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12901761906720705,0.9994348193459826,-0.0396761610673439,0.9994348193459826
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.051880802344632083,0.9999999228151772,0.053145080587055436,0.9999999228151772
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08027561772682903,0.9999931015491113,0.04726389849988523,0.9999931015491113
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23654007219965167,0.999998873746171,0.1615001727224938,0.999998873746171
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04995881488370929,0.6418457564192561,-0.01388380954148216,0.6418457564192561
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13001226424409304,0.9999999978895376,-0.02457881465683353,0.9999999978895376
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111225923034993,0.1290876375513862,0.0859218821994606,0.1290876375513862
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19472442092079126,0.999978914819564,-0.16447354800572478,0.999978914819564
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22130872138925775,0.999958911482297,-0.0384291766202897,0.999958911482297
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5561318606764617,0.9783009320381426,0.2017714858676831,0.9783009320381426
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03853537010720062,0.4420120674249414,-0.042911030041630105,0.4420120674249414
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22339895758034267,0.9996139312434438,-0.12769400771922632,0.9996139312434438
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09908046247322137,0.576523267265709,-0.062229435782646635,0.576523267265709
